Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3PP,FTM,FTA,FTP,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV
James Harden,68,2483,2335,672,1514,44.4,299,843,35.5,692,800,86.5,70,376,446,512,125,60,308,227,2220,1.66,0.41
Damian Lillard,66,2474,1978,624,1349,46.3,270,674,40.1,460,518,88.8,33,251,284,530,70,22,194,114,1907,2.73,0.36
Devin Booker,70,2512,1863,627,1283,48.9,141,398,35.4,468,509,91.9,29,268,297,456,49,18,264,213,1722,1.73,0.19
Giannis Antetokounmpo,63,1917,1857,685,1238,55.3,89,293,30.4,398,629,63.3,140,716,856,354,61,66,230,195,2180,1.54,0.27
Trae Young,60,2120,1778,546,1249,43.7,205,568,36.1,481,559,86.0,32,223,255,560,65,8,289,104,1596,1.94,0.23
Luka Doncic,61,2047,1759,581,1255,46.3,171,541,31.6,426,562,75.8,78,495,573,538,62,14,260,153,1876,2.07,0.24
Bradley Beal,57,2053,1741,593,1303,45.5,170,481,35.3,385,457,84.2,52,190,242,347,71,23,194,126,1448,1.79,0.37
LeBron James,67,2316,1698,643,1303,49.3,148,425,34.8,264,381,69.3,66,459,525,684,78,36,261,118,1983,2.62,0.30
Donovan Mitchell,69,2364,1655,602,1342,44.9,173,473,36.6,278,322,86.3,53,251,304,294,70,14,184,172,1369,1.60,0.38
Anthony Davis,62,2131,1618,551,1096,50.3,72,218,33.0,444,525,84.6,142,435,577,200,91,143,154,156,1849,1.30,0.59
CJ McCollum,70,2557,1556,611,1356,45.1,194,512,37.9,140,185,75.7,46,251,297,310,54,42,127,183,1342,2.44,0.42
Russell Westbrook,57,2049,1553,604,1281,47.2,55,213,25.8,290,380,76.3,100,351,451,401,93,20,255,200,1496,1.57,0.36
Jayson Tatum,66,2265,1547,552,1226,45.0,189,469,40.3,254,313,81.2,64,396,460,200,93,57,155,136,1469,1.29,0.60
Kawhi Leonard,57,1848,1543,532,1133,47.0,123,325,37.8,356,402,88.6,54,348,402,280,103,33,149,113,1565,1.88,0.69
Zach LaVine,60,2085,1530,539,1199,45.0,184,484,38.0,268,334,80.2,41,248,289,254,88,28,206,131,1257,1.23,0.43
DeMar DeRozan,68,2316,1504,557,1049,53.1,9,35,25.7,381,451,84.5,44,331,375,380,70,20,164,180,1623,2.32,0.43
Brandon Ingram,62,2103,1477,507,1096,46.3,150,384,39.1,313,368,85.1,51,329,380,259,61,38,189,179,1382,1.37,0.32
Nikola Jokic,73,2335,1456,565,1071,52.8,80,255,31.4,246,301,81.7,166,545,711,512,85,44,226,222,2021,2.27,0.38
Tobias Harris,72,2469,1411,553,1173,47.1,131,357,36.7,174,216,80.6,69,426,495,227,53,40,104,165,1460,2.18,0.51
Buddy Hield,72,2216,1382,498,1162,42.9,271,688,39.4,115,136,84.6,57,271,328,213,66,17,168,165,1153,1.27,0.39
Pascal Siakam,60,2110,1371,500,1104,45.3,131,365,35.9,240,303,79.2,64,375,439,207,61,53,148,170,1316,1.40,0.41
Collin Sexton,65,2143,1349,513,1086,47.2,97,255,38.0,226,267,84.6,61,143,204,192,65,7,158,142,1045,1.22,0.41
Shai Gilgeous-Alexander,70,2428,1331,478,1015,47.1,87,251,34.7,288,357,80.7,47,365,412,232,79,47,134,117,1361,1.73,0.59
T.J. Warren,67,2202,1326,534,997,53.6,91,226,40.3,167,204,81.9,68,212,280,99,78,34,84,187,1233,1.18,0.93
Spencer Dinwiddie,64,1994,1318,424,1021,41.5,123,400,30.8,347,446,77.8,32,189,221,432,40,21,174,180,1162,2.48,0.23
