Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3PP,FTM,FTA,FTP,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV
James Harden,78,2867,2818,843,1909,44.2,378,1028,36.8,754,858,87.9,66,452,518,586,158,58,387,244,2581,1.51,0.41
Paul George,77,2841,2159,707,1614,43.8,292,757,38.6,453,540,83.9,105,523,628,318,170,34,205,214,2110,1.55,0.83
Kemba Walker,82,2863,2102,731,1684,43.4,260,731,35.6,380,450,84.4,52,309,361,484,102,34,211,131,1849,2.29,0.48
Bradley Beal,82,3028,2099,764,1609,47.5,209,596,35.1,362,448,80.8,89,322,411,448,121,58,224,226,1982,2.00,0.54
Damian Lillard,80,2838,2067,681,1533,44.4,237,643,36.9,468,513,91.2,68,303,371,551,88,34,212,148,2002,2.60,0.41
Kevin Durant,78,2702,2027,721,1383,52.1,137,388,35.3,448,506,88.5,33,464,497,457,58,84,225,155,2178,2.03,0.26
Giannis Antetokounmpo,72,2358,1994,721,1247,57.8,52,203,25.6,500,686,72.9,159,739,898,424,92,110,268,232,2538,1.58,0.34
Stephen Curry,69,2331,1881,632,1340,47.2,354,810,43.7,263,287,91.6,45,324,369,361,92,25,192,166,1804,1.88,0.48
Karl-Anthony Towns,77,2545,1880,681,1314,51.8,142,355,40.0,376,450,83.6,263,691,954,259,67,125,240,292,2338,1.08,0.28
Blake Griffin,75,2622,1841,619,1341,46.2,189,522,36.2,414,550,75.3,100,465,565,402,52,28,253,199,1777,1.59,0.21
Donovan Mitchell,77,2598,1829,661,1530,43.2,188,519,36.2,319,396,80.6,59,257,316,322,106,31,218,208,1440,1.48,0.49
Joel Embiid,64,2154,1761,580,1199,48.4,79,263,30.0,522,649,80.4,160,711,871,234,46,122,226,211,2062,1.03,0.20
LaMarcus Aldridge,81,2687,1727,684,1319,51.9,10,42,23.8,349,412,84.7,251,493,744,194,43,107,144,179,1973,1.35,0.30
D'Angelo Russell,81,2448,1712,659,1517,43.4,234,635,36.9,160,205,78.0,53,262,315,563,100,20,253,141,1554,2.23,0.40
Devin Booker,64,2242,1700,586,1255,46.7,135,414,32.6,393,454,86.6,39,226,265,433,56,13,264,200,1473,1.64,0.21
Buddy Hield,82,2615,1695,623,1360,45.8,278,651,42.7,171,193,88.6,106,306,412,205,58,33,146,202,1498,1.40,0.40
Klay Thompson,78,2652,1680,655,1402,46.7,241,599,40.2,129,158,81.6,37,262,299,186,84,47,115,157,1405,1.62,0.73
Russell Westbrook,73,2629,1675,630,1473,42.8,119,411,29.0,296,451,65.6,109,698,807,784,142,33,325,245,2118,2.41,0.44
Nikola Vucevic,80,2510,1665,701,1354,51.8,84,231,36.4,179,227,78.9,224,736,960,307,81,89,159,157,2242,1.93,0.51
Tobias Harris,82,2848,1644,611,1254,48.7,156,393,39.7,266,307,86.6,69,576,645,229,51,37,151,184,1771,1.52,0.34
DeMar DeRozan,77,2688,1635,631,1313,48.1,7,45,15.6,366,441,83.0,54,408,462,475,86,36,199,177,1738,2.39,0.43
Nikola Jokic,80,2504,1604,616,1206,51.1,83,270,30.7,289,352,82.1,228,637,865,580,108,55,248,228,2311,2.34,0.43
Kawhi Leonard,60,2040,1596,560,1129,49.6,112,302,37.1,364,426,85.4,78,361,439,199,106,24,121,87,1612,1.65,0.88
Kyrie Irving,67,2214,1596,604,1241,48.7,174,434,40.1,214,245,87.3,71,264,335,464,103,34,172,167,1692,2.70,0.60
Julius Randle,73,2232,1565,571,1089,52.4,67,195,34.4,356,487,73.1,162,472,634,229,52,45,208,246,1668,1.10,0.25
